transaction_id,amount,currency,status,description,transacted_at,posted_at,transaction_refresh,account,institution_name,display_name,account_type,last4,category,subcategory,subscritpions
fctxn_1SQQ2FGykbcOG8szNjqdFrPt,-6649.95,usd,posted,ORIG CO NAME:ADP Tax ORIG ID:1223006057 DESC DATE:251105 CO ENTRY DESCR:ADP Tax SEC:CCD TRACE#:021000023389901 EED:251105 IND ID:LUGJO 110543A01 IND NAME:243 E 14TH CAFE INC AA TRN: 3093389901TC,2025-11-05T00:00:00+00:00,2025-11-05T00:00:00+00:00,fctxnref_1SQQ1wGykbcOG8szSNbpWIAz,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szmoOuWXhj,-540.0,usd,posted,CHECK # 13220,2025-11-05T00:00:00+00:00,2025-11-05T00:00:00+00:00,fctxnref_1SQQ1wGykbcOG8szSNbpWIAz,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szawA3msc3,3192.45,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251104 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500121356365 EED:251105 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3081356365TC,2025-11-05T00:00:00+00:00,2025-11-05T00:00:00+00:00,fctxnref_1SQQ1wGykbcOG8szSNbpWIAz,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szXJJcvmLK,-156.56,usd,posted,ORIG CO NAME:ADP PAY-BY-PAY ORIG ID:9555555505 DESC DATE:251105 CO ENTRY DESCR:PAY-BY-PAYSEC:CCD TRACE#:021000022614142 EED:251105 IND ID:547099489471GJO IND NAME:243 E 14TH CAFE INC TH 304287687 TRN: 3082614142TC,2025-11-05T00:00:00+00:00,2025-11-05T00:00:00+00:00,fctxnref_1SQQ1wGykbcOG8szSNbpWIAz,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szc9fPJn8S,11483.98,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251103 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500121295849 EED:251104 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3071295849TC,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szPGJjMbtA,-201.99,usd,posted,ORIG CO NAME:Shift4 ORIG ID:1465216257 DESC DATE: CO ENTRY DESCR:Shift4 SEC:CCD TRACE#:091000012854776 EED:251104 IND ID:I25110317108 IND NAME:638049 THE WINSLOW EDI TRN: 3072854776TC,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szF0gtWxmq,-15168.94,usd,posted,ORIG CO NAME:ADP WAGE PAY ORIG ID:9333006057 DESC DATE:251104 CO ENTRY DESCR:WAGE PAY SEC:CCD TRACE#:021000022401611 EED:251104 IND ID:547099489470GJO IND NAME:243 E 14TH CAFE INC TH 323298036 TRN: 3082401611TC,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8sz925e9pJf,-491.1,usd,posted,CHECK # 13218,2025-11-04T00:00:00+00:00,2025-11-04T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkPGykbcOG8sz7kDKu1re,18657.82,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251102 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500125060782 EED:251103 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3075060782TC,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szByknYvAb,21893.53,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251102 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500125060780 EED:251103 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3075060780TC,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8sz3wfSXInY,-1495.71,usd,posted,CHECK # 13217,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szyP7qbNzd,-405.0,usd,posted,CHECK # 13219,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szpqYw6Kg6,-800.1,usd,posted,CHECK # 13221,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szX8l3DMak,-296.0,usd,posted,Zelle payment to Matt Hill Exterminator 26834654020,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szNH8rFHS4,-121.87,usd,posted,CHECK # 13223,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szC46EPT6Y,-60.01,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251031 CO ENTRY DESCR:FEES SEC:CCD TRACE#:011500127797094 EED:251103 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3077797094TC,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szAxKRzZiG,-350.0,usd,posted,Zelle payment to Nav 26830468006,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szpNbExVuk,-300.0,usd,posted,Zelle payment to ALEXA 26815235372,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szp9uL1ZvO,-150.0,usd,posted,Zelle payment to Dave Drums Music 26821469989,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8sz7Wy0kDuq,-150.0,usd,posted,Zelle payment to Alex Miller 26821482455,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szHTVVLh8z,3807.28,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251031 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500124823742 EED:251103 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3044823742TC,2025-11-01T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szXfGmpI5O,-2279.0,usd,posted,ORIG CO NAME:MS Walker ORIG ID:1041941600 DESC DATE:251031 CO ENTRY DESCR:WEB PAY SEC:CCD TRACE#:011500125904967 EED:251103 IND ID:MSWalker IND NAME:243 E 14TH CAFE INC (617) 4401764 TRN: 3045904967TC,2025-11-01T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szCyhFYUJ4,-4514.3,usd,posted,ORIG CO NAME:FAIRMONT INSURAN ORIG ID:9120735001 DESC DATE:251103 CO ENTRY DESCR:CORP COLL SEC:CCD TRACE#:021000025904965 EED:251103 IND ID:63601 IND NAME:243 E 14 TRN: 3045904965TC,2025-11-01T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkNGykbcOG8szCHpEMWiD,-15.0,usd,posted,ORIG CO NAME:IPFS800-277-8878 ORIG ID:0AD2424370 DESC DATE: CO ENTRY DESCR:IPFSPMTNYTSEC:CCD TRACE#:101000015904969 EED:251103 IND ID:578278 IND NAME:243 E 14 CAFE INC DBA GDxLk2vV TRN: 3045904969TC,2025-11-01T00:00:00+00:00,2025-11-03T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szy481gd5E,3468.64,usd,posted,ORIG CO NAME:SHIFT4 ORIG ID:1731435739 DESC DATE:251030 CO ENTRY DESCR:PYMT PROC SEC:CCD TRACE#:011500121300631 EED:251031 IND ID:068880021774459 IND NAME:THE WINSLOW TRN: 3031300631TC,2025-10-31T00:00:00+00:00,2025-10-31T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
fctxn_1SQAkOGykbcOG8szHkMAzMpp,280.0,usd,posted,REMOTE ONLINE DEPOSIT # 1,2025-10-31T00:00:00+00:00,2025-10-31T00:00:00+00:00,fctxnref_1SQAk7GykbcOG8szFAqUCPUN,fca_1SQAk5GykbcOG8szaVDwTviw,Chase,The Winslow,cash,2917,cash,checking,['transactions']
